filename,bounding_boxes
000096_jpg.rf.c9f3a9d623f59933b29889153b591624.jpg,"[{""tool"": ""Wrench"", ""bbox"": [34, 223, 608, 371]}]"
20231102151116_jpg.rf.3e27d6564f71cc7f6b6d6965f7eb1532.jpg,"[{""tool"": ""Wrench"", ""bbox"": [220, 407, 275, 575]}, {""tool"": ""Wrench"", ""bbox"": [135, 269, 209, 436]}, {""tool"": ""Wrench"", ""bbox"": [265, 414, 364, 533]}, {""tool"": ""Wrench"", ""bbox"": [291, 92, 382, 192]}, {""tool"": ""Wrench"", ""bbox"": [239, 169, 346, 253]}]"
71EJRSJIWD18_jpg.rf.750cc2f5939a769f841399c766636ab6.jpg,"[{""tool"": ""Hammer"", ""bbox"": [315, 29, 616, 602]}, {""tool"": ""Wrench"", ""bbox"": [178, 177, 241, 545]}, {""tool"": ""Wrench"", ""bbox"": [258, 158, 317, 550]}, {""tool"": ""Wrench"", ""bbox"": [148, 223, 180, 546]}]"
bigstock_Tools_645470-CLASS-IMAGE_jpg.rf.061c62932440f2f5242461ba5ff7ed0f.jpg,"[{""tool"": ""Hammer"", ""bbox"": [23, 126, 587, 479]}, {""tool"": ""Pliers"", ""bbox"": [46, 452, 342, 583]}, {""tool"": ""Screwdriver"", ""bbox"": [41, 48, 377, 134]}, {""tool"": ""Wrench"", ""bbox"": [250, 132, 481, 241]}, {""tool"": ""Wrench"", ""bbox"": [181, 160, 484, 256]}]"
2023-08-17_12-09-13_png_jpg.rf.c71a42b2dd00b571ab6e9ab1418a1a99.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [180, 320, 411, 452]}]"
20231102151220_jpg.rf.87a52dc3f4c065ec4498d09fa78bb3c4.jpg,"[{""tool"": ""Gas wrench"", ""bbox"": [232, 334, 309, 437]}]"
screw_driver865_jpg.rf.3406afb30f36b27cd021e332f4958172.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [38, 30, 562, 589]}]"
20231102151244_jpg.rf.2ebfef8d2a7ba2e33c0e9aa16b0890a0.jpg,"[{""tool"": ""Cutting pliers"", ""bbox"": [243, 320, 277, 449]}]"
nipper02_jpg.rf.dc201d4c95632485cff6c2d1779f859b.jpg,"[{""tool"": ""Cutting pliers"", ""bbox"": [99, 55, 557, 548]}]"
hammer12_jpg.rf.5b96d95627e08a203dfb085ea1df9d51.jpg,"[{""tool"": ""Wrench"", ""bbox"": [164, 1, 375, 546]}, {""tool"": ""Gas wrench"", ""bbox"": [289, 21, 597, 568]}]"
top-view-steel-hammer-with-other-construction-elements-tools_23-2150576463_jpg.rf.e5044844d87601da09f1e27d7b77b2c2.jpg,"[{""tool"": ""Hammer"", ""bbox"": [322, 127, 513, 507]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [317, 356, 440, 516]}, {""tool"": ""Pliers"", ""bbox"": [1, 175, 145, 269]}, {""tool"": ""Screwdriver"", ""bbox"": [1, 305, 131, 362]}, {""tool"": ""Screwdriver"", ""bbox"": [1, 277, 138, 343]}, {""tool"": ""Wrench"", ""bbox"": [250, 132, 481, 241]}, {""tool"": ""Wrench"", ""bbox"": [181, 160, 484, 256]}, {""tool"": ""Tape measure"", ""bbox"": [444, 99, 502, 264]}]"
ToolsCollection3dmodels002-jpg89c5b487-32e8-4687-b2a4-b2cddc7470c9DefaultHQ_jpg.rf.b8af4011ac23aa301625e02f20f7a1be.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [89, 412, 144, 565]}, {""tool"": ""Cutting pliers"", ""bbox"": [205, 381, 262, 554]}, {""tool"": ""Gas wrench"", ""bbox"": [355, 362, 400, 562]}, {""tool"": ""Hammer"", ""bbox"": [268, 38, 385, 353]}, {""tool"": ""Hammer"", ""bbox"": [380, 36, 566, 352]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [145, 396, 202, 555]}]"
20231102151542_jpg.rf.2569bd2adbe09adfa51f0eaf2e588a6a.jpg,"[{""tool"": ""Backsaw"", ""bbox"": [149, 327, 340, 489]}, {""tool"": ""Hammer"", ""bbox"": [226, 262, 359, 370]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [349, 368, 402, 513]}, {""tool"": ""Pliers"", ""bbox"": [143, 195, 201, 312]}, {""tool"": ""Screwdriver"", ""bbox"": [82, 137, 139, 324]}, {""tool"": ""Screwdriver"", ""bbox"": [236, 76, 252, 201]}]"
screw_driver803_jpg.rf.f80005efd18f7182e32bbbcbac9734e5.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [125, 36, 413, 571]}, {""tool"": ""Hammer"", ""bbox"": [140, 116, 468, 527]}]"
20231102151717_jpg.rf.be6b7fcc5b072be7b4a8f60047d73ec6.jpg,[]
D_NQ_NP_653238-MLV42032733688_062020-F_jpg.rf.df22c3eb997a8a26215a5a582a387d4e.jpg,"[{""tool"": ""Hammer"", ""bbox"": [75, 32, 592, 454]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [139, 203, 507, 390]}, {""tool"": ""Pliers"", ""bbox"": [297, 191, 552, 393]}, {""tool"": ""Screwdriver"", ""bbox"": [42, 36, 348, 227]}, {""tool"": ""Utility knife"", ""bbox"": [290, 364, 529, 590]}]"
2023-08-17_12-09-41_png_jpg.rf.0037e9d3ccfa30488415a220fc1a81b9.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [247, 159, 412, 509]}]"
20231102151630_jpg.rf.9e236c709153402d629bf24e058e92ef.jpg,[]
20231102151436_jpg.rf.a09cb270a073344707a09ae3fd4d662b.jpg,"[{""tool"": ""Gun"", ""bbox"": [195, 328, 308, 446]}]"
20231102151614_jpg.rf.564d314d67f7839ddcfa114689d47631.jpg,"[{""tool"": ""Drill"", ""bbox"": [165, 325, 300, 412]}, {""tool"": ""Hand"", ""bbox"": [133, 567, 219, 641]}, {""tool"": ""Screwdriver"", ""bbox"": [284, 1, 315, 50]}]"
000091_jpg.rf.eb36dba75f6fdf7c59c162fd7643a578.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [86, 25, 573, 566]}]"
caliper-25-_jpg.rf.35773df410d16919c983cc35634f2dc5.jpg,"[{""tool"": ""Calipers"", ""bbox"": [98, 173, 635, 623]}]"
000005_jpg.rf.beef5bb1108c24958b8fde60d8c17b10.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [5, 182, 638, 472]}]"
20231102151652_jpg.rf.d1736ca8fbff5c834435476436abfbcd.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [21, 467, 155, 544]}, {""tool"": ""Adjustable spanner"", ""bbox"": [7, 177, 100, 284]}, {""tool"": ""Adjustable spanner"", ""bbox"": [454, 364, 541, 493]}, {""tool"": ""Adjustable spanner"", ""bbox"": [294, 121, 368, 280]}, {""tool"": ""Backsaw"", ""bbox"": [361, 177, 436, 534]}, {""tool"": ""Cutting pliers"", ""bbox"": [124, 241, 210, 318]}, {""tool"": ""Cutting pliers"", ""bbox"": [214, 95, 258, 309]}, {""tool"": ""Drill"", ""bbox"": [456, 129, 602, 334]}, {""tool"": ""Gas wrench"", ""bbox"": [240, 485, 312, 578]}, {""tool"": ""Gas wrench"", ""bbox"": [205, 93, 243, 297]}]"
2023-08-17_17-09-23_png_jpg.rf.1a55a7cab63039f1727a2dcc50aba138.jpg,"[{""tool"": ""Hammer"", ""bbox"": [155, 69, 297, 605]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [251, 33, 299, 435]}, {""tool"": ""Screwdriver"", ""bbox"": [355, 14, 381, 532]}]"
screw_driver834_jpg.rf.b25328f51ff341a2f1e0bdea53195846.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [63, 290, 263, 510]}, {""tool"": ""Screwdriver"", ""bbox"": [109, 233, 277, 472]}, {""tool"": ""Screwdriver"", ""bbox"": [149, 211, 323, 396]}, {""tool"": ""Screwdriver"", ""bbox"": [175, 186, 333, 353]}, {""tool"": ""Screwdriver"", ""bbox"": [200, 165, 377, 314]}, {""tool"": ""Screwdriver"", ""bbox"": [221, 140, 375, 251]}, {""tool"": ""Screwdriver"", ""bbox"": [245, 120, 403, 214]}, {""tool"": ""Screwdriver"", ""bbox"": [265, 105, 430, 219]}, {""tool"": ""Screwdriver"", ""bbox"": [289, 114, 436, 238]}, {""tool"": ""Screwdriver"", ""bbox"": [306, 129, 457, 244]}]"
51DWCz6ft0L-_AC_SX679__jpg.rf.04330b13f23625bcab369de9836cc652.jpg,"[{""tool"": ""Pliers"", ""bbox"": [10, 4, 613, 600]}]"
20231102150827_jpg.rf.e9b4c3946f3d555f35e8e69b737c039a.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [257, 262, 301, 447]}]"
20231102151658_jpg.rf.2597afc2568c822678c90e7451c65373.jpg,[]
caliper-86-_jpg.rf.35825d6fb320059a72128f7242bed031.jpg,"[{""tool"": ""Calipers"", ""bbox"": [4, 200, 631, 447]}]"
2023-08-17_17-07-37_png_jpg.rf.8780b6dfc3f61e0bcd327428130755e1.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [111, 87, 198, 576]}, {""tool"": ""Hammer"", ""bbox"": [257, 63, 379, 589]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [212, 78, 277, 464]}, {""tool"": ""Screwdriver"", ""bbox"": [376, 110, 413, 594]}]"
screw_driver811_jpg.rf.93e0d1ce711db84254be8c6889c8101f.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [11, 104, 611, 531]}]"
tool-294-_jpg.rf.3d4b487ae7aa7b5ee6d8810857a59b1e.jpg,"[{""tool"": ""Hammer"", ""bbox"": [7, 1, 578, 603]}]"
screw_driver948_jpg.rf.5a385b89b9dc072734a3fed2faa94137.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [44, 29, 373, 411]}, {""tool"": ""Screwdriver"", ""bbox"": [68, 145, 473, 448]}, {""tool"": ""Screwdriver"", ""bbox"": [62, 277, 597, 559]}]"
2023-08-17_17-08-16_png_jpg.rf.5b1887041352082c05b0b60b2d184fb3.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [98, 65, 244, 523]}, {""tool"": ""Hammer"", ""bbox"": [286, 24, 401, 573]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [435, 136, 495, 527]}, {""tool"": ""Screwdriver"", ""bbox"": [236, 56, 267, 562]}]"
000152_jpg.rf.7cebcba9aab472bb37bb734641039462.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [12, 230, 631, 357]}]"
20231102150443_jpg.rf.82c2f1bd53098cb60e5ad96dc794aa0a.jpg,"[{""tool"": ""Wrench"", ""bbox"": [296, 322, 639, 489]}]"
Hammer-1117-_JPEG_jpg.rf.d71e4cab97b08b4aa8581d69c7bab9c6.jpg,"[{""tool"": ""Hammer"", ""bbox"": [29, 11, 618, 624]}]"
radiopliers04_jpg.rf.ff2ebbfe1e8a51c8cca5b860d3b104ed.jpg,"[{""tool"": ""Needle-nose pliers"", ""bbox"": [30, 60, 598, 565]}]"
istockphoto-184978759-612x612_jpg.rf.83f21974402cb3c19ee57835fcfbc503.jpg,"[{""tool"": ""Pliers"", ""bbox"": [107, 109, 517, 521]}]"
caliper-37-_jpg.rf.81acb275a1ed8aa7bd9ec99efb169a96.jpg,"[{""tool"": ""Calipers"", ""bbox"": [55, 147, 579, 469]}]"
arrangement-yellow-tools-top-view-with-copy-space_23-2148393100_jpg.rf.37025461e2444dd8f2819ffb610e12e3.jpg,"[{""tool"": ""Cutting pliers"", ""bbox"": [245, 1, 315, 151]}]"
caliper-72-_jpg.rf.8a89c4f51676295ca19d923f7407011d.jpg,"[{""tool"": ""Calipers"", ""bbox"": [13, 23, 630, 604]}]"
000315_jpg.rf.b1b764aee65ff27faebb8158c2d2d1a4.jpg,"[{""tool"": ""Hammer"", ""bbox"": [191, 25, 411, 597]}]"
tool-150-_jpg.rf.9ae37f1234550ece8d588e8874db1487.jpg,"[{""tool"": ""Hammer"", ""bbox"": [109, 161, 490, 360]}]"
kit11_jpg.rf.60e27eb071c591a1c889e7e7763fdceb.jpg,[]
15_jpg.rf.930ebc988a748bc6af76ce92c50d7125.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [21, 158, 624, 447]}]"
hammer21_jpg.rf.f8131a61c317cc607ef6cb6fdca39936.jpg,"[{""tool"": ""Hammer"", ""bbox"": [116, 3, 581, 614]}]"
000156_jpg.rf.68d194d179bee8aaf3a0c75ee85c26b7.jpg,"[{""tool"": ""Pliers"", ""bbox"": [28, 124, 605, 533]}]"
Hammer-1098-_JPEG_jpg.rf.0b1056561d7824b20a03154fd5336d26.jpg,"[{""tool"": ""Hammer"", ""bbox"": [69, 41, 515, 574]}]"
elena-rouame-9JU2CKqtw0M-unsplash_jpg.rf.38d024dba3014eaca0dfe07fcd595d96.jpg,[]
Wrench-35-_JPEG_jpg.rf.ddaa711509ec05b3e63354c0cdad6854.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [18, 2, 624, 612]}]"
hammer31_jpg.rf.139e942be7c0681f4bc42fd819c129f3.jpg,"[{""tool"": ""Hammer"", ""bbox"": [150, 105, 354, 372]}]"
2023-08-17_12-09-22_png_jpg.rf.c982c35b694347c2332eeb0cf02a5cd4.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [226, 125, 374, 472]}]"
Screwdriver-535-_JPEG_jpg.rf.2f8e1654a786b2f2cd8a4a27cc1a90d3.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [45, 26, 619, 580]}]"
screw_driver850_jpg.rf.2d3ece146ebf7765b2babe0b4656d9b9.jpg,[]
images227_jpg.rf.ae2f52e143c97fdd8b8aea7e7401f043.jpg,[]
kit5_jpg.rf.58f45c9167c1e66037cafd7c365ca970.jpg,"[{""tool"": ""Wrench"", ""bbox"": [108, 195, 325, 235]}, {""tool"": ""Wrench"", ""bbox"": [111, 234, 329, 277]}, {""tool"": ""Wrench"", ""bbox"": [120, 266, 320, 300]}, {""tool"": ""Wrench"", ""bbox"": [121, 281, 320, 318]}, {""tool"": ""Wrench"", ""bbox"": [131, 319, 320, 346]}, {""tool"": ""Hammer"", ""bbox"": [60, 361, 141, 479]}, {""tool"": ""Hammer"", ""bbox"": [157, 491, 339, 549]}, {""tool"": ""Tape measure"", ""bbox"": [40, 511, 143, 579]}, {""tool"": ""Pliers"", ""bbox"": [307, 468, 576, 517]}, {""tool"": ""Hand grip"", ""bbox"": [156, 356, 436, 421]}, {""tool"": ""Screwdriver"", ""bbox"": [145, 350, 386, 377]}, {""tool"": ""Screwdriver"", ""bbox"": [154, 380, 462, 411]}, {""tool"": ""Screwdriver"", ""bbox"": [306, 503, 597, 544]}, {""tool"": ""Screwdriver"", ""bbox"": [417, 379, 582, 404]}, {""tool"": ""Ratchet"", ""bbox"": [149, 416, 457, 469]}, {""tool"": ""Utility knife"", ""bbox"": [334, 207, 568, 259]}, {""tool"": ""Wrench box"", ""bbox"": [9, 2, 606, 269]}]"
2023-08-17_12-11-01_png_jpg.rf.75c24aff98378f113eef0678071959c8.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [434, 114, 502, 567]}, {""tool"": ""Hammer"", ""bbox"": [220, 110, 314, 597]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [38, 165, 99, 517]}, {""tool"": ""Screwdriver"", ""bbox"": [325, 89, 376, 545]}]"
2023-08-17_17-09-17_png_jpg.rf.3d7602d7e2bfb79dd43ee33c6cec427b.jpg,"[{""tool"": ""Hammer"", ""bbox"": [227, 74, 346, 621]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [119, 94, 177, 497]}, {""tool"": ""Screwdriver"", ""bbox"": [356, 10, 389, 540]}]"
000146_jpg.rf.1729feeb906519b67efac0823023b723.jpg,"[{""tool"": ""Wrench"", ""bbox"": [121, 37, 189, 296]}, {""tool"": ""Wrench"", ""bbox"": [196, 38, 256, 293]}, {""tool"": ""Wrench"", ""bbox"": [270, 39, 325, 292]}, {""tool"": ""Wrench"", ""bbox"": [336, 40, 389, 279]}, {""tool"": ""Wrench"", ""bbox"": [392, 39, 444, 270]}, {""tool"": ""Wrench"", ""bbox"": [436, 37, 487, 242]}, {""tool"": ""Wrench"", ""bbox"": [98, 363, 146, 575]}, {""tool"": ""Wrench"", ""bbox"": [154, 356, 212, 574]}, {""tool"": ""Wrench"", ""bbox"": [224, 362, 282, 577]}]"
